GKODE,GKODN
2593759.845,1194694.713
2587815.721,1219532.668
2585408.992,1220545.038
2615546.555,1177792.706
2591770.095,1199958.555
2578030.846,1210725.927
2620011.991,1175030.687
2613866.557,1211196.534
2603694.221,1183740.753
2592250.492,1184722.381
2601464.596,1203979.238
2611979.185,1197919.084
2617667.412,1179279.426
2617153.311,1182838.634
2632900.899,1169356.579
2644692.266,1163135.53
2592411.4,1218796.249
2602272.838,1198303.373
2604615.624,1193919.349
2626956.653,1229036.829
2612909.049,1219968.461
2600195.14,1145460.644
2589352.969,1217268.357
2630142.267,1206249.275
2619579.039,1225982.439
2601405.919,1165811.86
2612899.0,1215729.0
2615277.852,1159431.689
2598231.339,1198973.678
2613592.651,1159108.316
2659678.652,1175317.088
2602780.482,1198436.903
2615296.063,1234907.891
2601075.411,1200142.302
2617638.454,1177430.191
2622271.88,1180382.727
2624859.64,1233436.586
2600726.572,1201156.017
2587702.086,1144550.635
2590376.537,1213135.581
2623887.922,1198150.134
2599595.745,1145173.126
2617774.96,1175808.644
2560888.199,1220195.026
2607087.652,1197843.766
2620848.906,1226689.418
2625994.173,1206080.989
2584150.758,1207129.411
2608639.392,1191234.244
2632064.651,1174511.445
2599547.897,1197109.721
2560803.044,1219484.031
2604651.482,1200432.463
2631043.089,1226566.877
2581985.225,1230305.037
2608551.807,1190680.944
2632262.731,1174859.494
2589275.052,1216556.565
2611823.692,1215645.141
2601053.858,1199085.166
2602864.434,1212430.798
2628206.267,1198787.487
2586956.567,1199855.602
2632624.43,1182643.806
2627430.904,1210548.352
2587231.712,1210639.356
2607844.977,1200789.854
2606119.684,1178620.582
2597201.189,1204437.069
2631423.467,1169744.887
2612960.847,1211452.861
2600390.116,1197225.252
2605238.184,1213954.853
2609195.21,1174326.592
2613454.128,1233504.261
2601773.981,1199361.481
2647534.781,1176942.932
2595645.45,1198744.323
2581322.119,1224934.858
2585144.132,1221394.837
2630221.616,1180358.4
2586718.792,1220833.831
2624251.882,1228211.911
2594032.943,1217033.209
2591209.227,1146927.21
2619926.205,1182159.392
2612170.206,1150641.273
2625962.703,1199048.076
2596266.628,1199053.209
2595288.964,1226138.967
2632156.137,1166431.757
2613304.384,1176497.855
2620698.717,1188649.956
2618198.175,1210247.189
2607937.319,1180689.041
2589033.498,1146801.378
2619692.935,1235361.398
2613907.537,1177652.001
2632303.065,1174845.541
2574548.05,1206812.363
2600551.855,1198030.931
2604994.833,1208441.617
2581742.302,1213911.307
2630084.604,1220415.303
2596470.746,1151513.156
2620128.609,1163293.3
2589440.384,1218178.14
2583149.854,1201440.155
2566839.248,1222788.691
2612853.007,1186369.322
2621472.679,1194690.941
2608384.184,1220394.077
2598303.5,1197375.875
2602604.035,1202348.566
2658819.559,1175543.133
2608741.485,1220444.16
2610336.803,1197694.631
2601233.261,1205174.139
2646580.954,1178236.231
2587313.179,1207911.142
2601029.096,1204780.775
2595313.028,1235722.251
2609063.887,1220314.561
2616058.539,1173025.643
2622110.797,1223648.733
2576631.96,1218394.779
2619727.019,1225989.298
2608768.236,1176335.419
2617417.273,1147892.946
2589613.764,1154178.128
2621870.0,1173710.0
2597758.961,1197338.925
2610638.488,1211987.012
2621629.936,1203460.823
2619417.638,1218265.453
2590467.725,1151701.93
2589018.539,1208384.102
2617358.197,1217210.9
2588242.227,1222183.635
2610623.064,1177528.03
2626677.514,1226894.91
2612784.162,1176710.595
2573862.693,1209824.897
2587116.367,1210280.246
2585024.845,1222099.229
2598777.099,1165465.881
2635550.95,1172872.979
2605108.632,1207544.23
2632633.34,1170144.413
2588445.96,1198446.759
2592099.354,1200328.111
2618542.706,1188831.723
2657593.346,1174229.447
2615785.63,1231266.746
2625609.494,1229355.893
2597287.723,1186986.885
2623112.982,1229722.477
2609630.527,1180322.043
2622957.797,1171978.443
2577163.744,1214987.77
2585014.455,1206097.954
2580357.451,1227520.772
2598728.614,1149489.986
2600039.04,1197556.557
2592191.564,1185053.026
2608462.94,1191729.163
2608812.506,1185501.787
2586656.0,1220267.0
2613598.794,1177773.947
2590478.116,1210881.408
2613969.166,1192434.858
2598755.241,1223709.95
2644509.524,1163575.891
2596932.645,1198826.671
2586830.438,1219308.16
2596129.5,1197450.872
2584832.273,1200064.009
2568314.898,1223028.083
2633255.04,1167200.025
2601293.826,1199563.339
2644814.402,1178826.921
2612280.0,1183542.0
2610888.71,1214753.312
2604809.454,1187331.442
2574310.047,1213112.398
2646582.59,1163438.118
2611429.555,1176486.222
