xtf_id,Address,PostCode,Municipality,Canton,BeginningOfOperation,InitialPower,TotalPower,MainCategory,SubCategory,PlantCategory,_x,_y
99061,Ober Fürten 845,3455,Grünen,BE,2015-07-10,22.68,22.68,maincat_2,subcat_2,plantcat_8,2622240,1208170
99783,Hofmattweg 1 (Parzelle 612),3274,Hermrigen,BE,2015-10-22,11.18,31.88,maincat_2,subcat_2,plantcat_8,2585369,1214303
99017,Riedhofstrasse 1,4900,Langenthal,BE,2015-09-04,10.98,10.98,maincat_2,subcat_2,plantcat_9,2627364,1229246
100384,Moos 26,3616,Schwarzenegg,BE,2015-11-06,14.03,14.03,maincat_2,subcat_2,plantcat_8,2621313,1183666
99060,Kaltacker 325,3413,Kaltacker,BE,2015-06-17,6.75,6.75,maincat_2,subcat_2,plantcat_8,2617743,1214041
100750,Wannentalweg 8,3317,Limpach,BE,2015-11-02,13.2,13.2,maincat_2,subcat_2,plantcat_8,2604494,1217544
100543,Selhofenstrasse 17,3084,Wabern,BE,2015-11-12,9.36,9.36,maincat_2,subcat_2,plantcat_9,2601715,1197086
100083,Schorenstrasse 69D (PARZELLE 4970),3645,Gwatt (Thun),BE,2015-10-08,10.44,10.44,maincat_2,subcat_2,plantcat_8,2613741,1175289
99991,Krankenhausweg 37B,3110,Münsingen,BE,2015-10-13,7.96,7.96,maincat_2,subcat_2,plantcat_9,2609930,1191200
99961,Leuegg 123,6197,Schangnau,BE,2015-09-29,29.64,29.64,maincat_2,subcat_2,plantcat_8,2633641,1185154
99964,Schlössli 122c + 122b,6197,Schangnau,BE,2015-09-29,3.24,29.63,maincat_2,subcat_2,plantcat_10,2634090,1185021
99882,Häsenen 46a,3116,Noflen,BE,2015-11-11,14.96,14.96,maincat_2,subcat_2,plantcat_8,2608049,1184376
100292,Erlenweg 3,3176,Neuenegg,BE,2015-09-11,11.4,11.4,maincat_2,subcat_2,plantcat_8,2589934,1193751
100525,Niesenweg 12,3422,Kirchberg,BE,2015-09-29,19.24,29.88,maincat_2,subcat_2,plantcat_9,2611618,1214468
100177,Diemerswilstrasse 12,3038,Kirchlindach,BE,2016-01-04,3.48,3.48,maincat_2,subcat_2,plantcat_8,2599185,1205921
102022,Kirchgässli 19,4934,Madiswil,BE,2015-09-24,25.9,25.9,maincat_2,subcat_2,plantcat_9,2627305,1224160
100624,Neuhofweg 22,3400,Burgdorf,BE,2015-09-30,5.79,5.79,maincat_2,subcat_2,plantcat_9,2614463,1211997
99975,Fliederweg 18,4900,Langenthal,BE,2015-09-14,11.88,27.54,maincat_2,subcat_2,plantcat_10,2627029,1228270
102969,Bärenriedweg 56,3053,Münchenbuchsee,BE,2016-05-10,10.07,10.07,maincat_2,subcat_2,plantcat_9,2599671,1208258
99910,Mettleneggenstrasse 6,3665,Wattenwil,BE,2015-09-29,14.4,14.4,maincat_2,subcat_2,plantcat_9,2605218,1178107
99647,Lerchenweg 9,3250,Lyss,BE,2015-09-26,4.5,4.5,maincat_2,subcat_2,plantcat_9,2590019,1213052
100066,Badweg 12,3302,Moosseedorf,BE,2015-09-25,28.89,28.89,maincat_2,subcat_2,plantcat_8,2603473,1207344
100043,Weissensteinstrasse 10,3423,Ersigen,BE,2015-10-07,6.12,6.12,maincat_2,subcat_2,plantcat_8,2612134,1216131
100255,Höheweg 30,3626,Hünibach,BE,2015-11-27,15.3,15.3,maincat_2,subcat_2,plantcat_8,2616272,1177330
100512,Stutzstrasse 26,3126,Kaufdorf,BE,2015-10-30,10.73,10.73,maincat_2,subcat_2,plantcat_8,2604557,1187282
99634,Bärfischenhaus 12,3204,Rosshäusern,BE,2015-09-30,29.58,29.58,maincat_2,subcat_2,plantcat_8,2585925,1196393
102378,Chöliweg 8,3781,Turbach,BE,2016-12-22,9.88,9.88,maincat_2,subcat_2,plantcat_9,2590262,1147098
100409,L'Assesseur 120,2615,Sonvilier,BE,2016-05-10,5.4,11.33,maincat_2,subcat_2,plantcat_8,2563932,1222878
100348,Lerberstrasse 28,3013,Bern,BE,2015-11-11,14.06,14.06,maincat_2,subcat_2,plantcat_9,2601367,1200032
100335,Weingartenstrasse 31a,3417,Rüegsau,BE,2015-12-22,18.2,18.2,maincat_2,subcat_2,plantcat_9,2617721,1207731
100293,Belfond 3,2710,Tavannes,BE,2015-11-25,29.07,29.07,maincat_2,subcat_2,plantcat_8,2580734,1230816
100678,Rue de la Clef 9,2610,St-Imier,BE,2016-04-06,45,45,maincat_2,subcat_2,plantcat_8,2565584,1221802
100221,Rebstockweg 46,3232,Ins,BE,2015-12-03,7.4,11.36,maincat_2,subcat_2,plantcat_9,2575110,1206389
100347,Hauptstrasse 5 (Parzelle 3230),3035,Frieswil,BE,2015-12-11,9.99,9.99,maincat_2,subcat_2,plantcat_8,2588177,1204978
100500,Austrasse 24,3205,Gümmenen,BE,2015-11-27,5.2,5.2,maincat_2,subcat_2,plantcat_8,2584891,1200049
100667,Helvetiastrasse 17,3005,Bern,BE,2016-02-05,29.64,29.64,maincat_2,subcat_2,plantcat_8,2600936,1198958
100257,Tiefenmöslistrasse 17,3072,Ostermundigen,BE,2016-05-12,4.2,12.17,maincat_2,subcat_2,plantcat_9,2603498,1199476
100172,Gotthelfstrasse 24,2543,Lengnau,BE,2015-12-18,8.32,8.32,maincat_2,subcat_2,plantcat_8,2594453,1224929
100519,Unterdorfstrasse 67,3365,Grasswil,BE,2016-02-10,22.52,22.52,maincat_2,subcat_2,plantcat_9,2617338,1221521
100566,Bürenstrasse 27,2543,Lengnau,BE,2015-11-30,3.64,3.64,maincat_2,subcat_2,plantcat_8,2594758,1225200
100349,Faulenbachweg 81C,3700,Spiez,BE,2015-11-27,20.8,20.8,maincat_2,subcat_2,plantcat_8,2617543,1170225
