x,y
2628648,1220441
2629330,1220751
2628798,1220871
2627478,1220845
2626873,1217706
2626949,1218157
2627666,1218962
2627356,1219226
2628524,1218406
2625957,1225588
2625961,1225091
2625607,1224875
2625506,1224919
2624473,1223986
2625937,1225584
2625799,1225403
2625556,1225048
2624851,1233391
2624852,1233737
2624892,1233350
2625490,1233535
2624902,1233476
2624902,1233705
2624431,1227886
2622748,1229844
2623952,1229760
2623321,1229729
2622365,1228620
2623350,1229246
2624482,1228344
2624615,1228119
2624596,1228019
2624580,1228201
2624490,1228153
2624467,1228198
2624547,1227950
2624407,1227879
2624050,1227959
2623396,1227278
2623201,1226901
2623375,1229720
2623438,1229217
2623409,1229232
2623195,1229632
2623158,1229629
2622284,1227489
2624176,1227917
2623410,1229573
2623090,1229711
2623067,1229703
2624076,1227824
2624329,1228084
2623604,1229253
2624877,1220956
2625623,1221740
2623841,1219495
2625637,1220899
2625413,1220826
2625961,1221919
2624917,1220597
2625470,1220317
2625033,1220617
2625916,1221902
2625652,1221742
2629090,1234268
2628557,1233884
2628890,1233888
2628625,1234073
2628654,1234173
2627586,1234424
2627753,1234467
2628884,1234273
2627970,1234206
2628176,1234326
2628779,1233869
2628407,1234095
2628894,1234395
2628615,1233796
2629214,1234256
2628228,1234196
2628799,1234423
2629299,1234850
2600185,1201007
2600119,1200872
2599984,1200809
2599872,1200811
2599741,1201063
2599832,1201001
2600159,1201696
2600530,1202286
2600535,1202466
2600117,1202139
2600963,1202516
2599164,1200555
2599416,1200523
2599539,1200475
2599509,1200889
2599733,1200908
2599740,1200715
2599893,1200265
2599881,1199993
2599490,1200062
2599503,1199782
2599644,1199893
2599104,1200024
2598942,1200545
2598982,1200482
2598006,1199807
2597634,1199774
2598562,1199502
2598200,1199123
2598170,1199077
2597660,1199251
2597660,1199090
2598257,1198814
2598310,1198798
2598310,1198766
2598539,1198641
2599176,1198730
2599068,1199002
2599099,1199021
2599318,1198925
2599132,1199086
2599014,1199363
2598773,1199029
2598707,1199127
2600047,1199245
2599649,1198868
2599950,1198475
2600101,1198134
2599520,1198788
2599739,1198705
2599356,1198473
2599683,1198135
2599623,1198168
2599401,1198055
2599420,1198011
2600291,1199220
2600309,1199033
2600159,1198264
2600163,1198255
2600641,1197879
2601296,1198996
2600531,1198835
2600625,1198633
2600590,1198397
2600821,1198590
2601023,1198652
2600978,1198616
2601487,1199280
2601360,1199191
2601951,1198731
2601916,1198272
2602253,1198714
2602590,1198311
2602539,1198275
2602569,1198338
2602451,1198327
2602247,1198456
2602282,1198525
2602423,1198246
2602275,1198116
2602133,1198402
2602159,1198187
2602220,1198117
2602518,1198163
2602614,1198135
2602462,1198131
2602597,1198116
2602519,1198142
2602584,1199089
2602484,1198937
2602613,1198919
2602636,1198829
2602916,1198993
2602745,1198951
2603178,1198649
2603280,1198619
2602443,1199182
2602420,1199388
2602560,1199528
2602725,1199200
2602801,1199430
2603308,1199505
2603309,1199511
2603311,1199547
2603274,1199561
2601848,1199367
2601878,1199395
2601740,1200014
2602166,1199869
2601950,1200030
2602903,1200764
2603049,1200921
2603100,1200949
2602897,1200713
2603016,1200747
2603042,1200761
2602971,1200782
2602993,1200809
2603076,1200654
2603024,1200715
2602970,1200555
2602933,1200570
2601367,1200032
2601044,1199934
2600918,1200025
2600573,1200132
2601470,1200219
2601291,1200311
2600833,1200606
2600937,1200513
2601151,1200724
2601337,1200509
2601359,1200795
2601538,1200892
2601286,1201085
2601359,1201174
2601601,1201133
2601645,1201054
2601558,1201030
2601591,1201235
2601293,1201342
2602278,1202409
2602211,1202342
2601072,1201050
2600547,1201397
2600857,1201685
2600875,1201708
2600633,1201560
2600788,1201799
2600843,1201791
2600781,1201842
2600708,1201777
2596310,1198159
2596309,1198296
2596961,1198787
2596972,1198797
2596898,1198771
2596775,1198753
2596820,1198878
2596753,1198692
2596701,1198627
2596750,1198924
2597062,1199175
2596516,1198851
2595730,1198810
2595981,1198984
2595873,1199045
2595918,1199006
2595922,1199001
2595610,1199240
2595696,1199192
2595278,1199226
2595689,1199308
2596139,1198980
2596021,1198946
2596030,1198942
2596080,1199008
2595849,1199312
2595885,1199329
2595895,1199264
2595320,1198422
2593575,1198371
2593155,1198335
2592904,1198430
2592466,1198539
2592471,1198578
2592292,1198610
2596618,1199658
2596850,1199936
2596324,1200147
2598816,1200391
2599233,1198597
2596746,1198634
2598338,1198403
2598466,1198336
2597474,1199415
2595435,1199310
2593499,1198433
2596908,1199928
2602403,1200027
2602287,1200021
2593879,1198061
2601238,1201780
2595756,1199149
2594215,1198369
2600299,1202146
2593339,1198334
2597855,1199747
2603017,1201515
2599052,1200065
2598288,1199576
2600930,1202786
2596501,1199003
2595979,1198427
2599243,1198494
2601251,1198894
2599707,1199452
2599315,1199447
2602000,1198308
2601616,1198988
2596320,1197992
2599756,1200112
2601272,1200586
2599230,1200225
2601037,1201526
2597090,1199618
2601359,1201264
2598544,1198833
2599260,1199481
2600164,1202026
2595394,1199263
2596274,1198177
2596563,1198456
2600826,1198162
2599456,1200360
2602449,1199853
2602147,1198163
2601968,1199076
2600469,1197958
2597901,1197787
2602731,1198862
2598816,1199550
2600795,1199921
2597618,1199487
2602997,1201441
2595788,1197460
2600411,1200556
2600588,1200107
2604789,1202809
2604394,1202770
2604708,1203327
2604489,1202420
2604352,1202304
2604398,1202353
2604321,1202347
2604337,1201959
2604414,1202057
2604243,1202446
2604203,1202497
2604164,1202479
2603946,1202424
2603848,1202547
2603932,1202535
2603999,1202791
2604735,1202158
2604697,1202737
2604637,1202558
2604756,1203036
2604598,1202927
2604800,1203115
2604683,1202921
2604706,1202952
2604828,1202940
2604820,1202913
2604907,1203264
2605110,1203458
2605196,1203522
2604873,1203123
2604904,1202385
2604442,1203079
2604479,1203222
2604629,1203208
2604672,1203154
2604676,1203141
2604559,1203334
2604605,1203366
2604761,1203157
2604665,1203327
2604458,1203819
2604451,1203834
2604654,1203761
2606300,1204125
2605994,1203602
2604761,1202837
2604877,1201995
2607187,1201585
2604434,1201888
2605815,1201727
2604512,1202930
2604448,1203787
2604530,1203780
2604531,1203791
2605969,1204706
2605124,1202512
2604558,1201876
2600088,1203625
2600188,1203423
2600196,1203314
2600213,1203568
2600231,1203584
2599956,1203365
2599851,1202776
2599828,1203053
2599887,1203060
2599842,1202544
2599884,1202487
2599938,1202477
2599897,1202451
2599890,1202451
2599869,1202450
2599894,1202377
2599684,1202603
2599414,1202672
2599504,1202597
2599385,1202641
2599159,1202583
2600172,1203901
2599257,1202643
2599993,1202572
2599863,1203198
2599970,1202679
2599750,1202592
2599740,1202635
2599730,1202518
2600002,1203014
2598120,1205825
2598140,1205793
2598045,1205407
2597777,1205190
2597743,1205160
2598014,1204753
2597898,1205316
2598818,1204809
2599049,1206054
2598764,1205702
2598602,1203090
2598390,1202313
2598168,1202239
2598838,1203370
2597886,1202725
2597911,1202697
2597917,1202684
2597922,1202679
2597886,1204723
2599028,1206078
2598373,1202337
2598247,1206314
2598792,1202483
2598456,1203097
2598509,1202728
2597100,1206479
2596691,1205559
2597637,1196579
2597889,1196946
2597899,1196951
2597230,1194681
2597948,1192397
2598551,1196617
2601846,1197382
2601861,1197398
2601827,1197452
2601973,1197437
2601817,1197194
2601715,1197086
2601802,1197099
2601511,1197383
2601452,1197192
2601505,1197155
2602066,1196454
2601930,1196662
2601487,1197970
2601552,1197991
2601573,1197862
2601319,1197830
2601466,1197929
2601456,1197838
2601445,1197765
2601386,1197747
2601341,1197468
2601290,1197899
2601294,1197919
2601195,1197686
2601224,1197777
2600962,1197780
2601115,1197657
2601128,1197669
2601062,1197608
2600906,1197805
2600864,1197796
2600916,1197771
2601176,1197483
2601184,1197438
2600807,1197550
2600645,1197740
2600637,1197726
2600580,1197532
2599215,1197461
2599166,1197608
2599133,1197626
2599427,1197748
2599510,1197730
2599460,1197565
2599477,1197450
2599627,1197498
2599628,1197332
2599539,1197332
2600122,1197354
2600269,1197370
2600340,1197328
2600089,1197312
2600344,1197201
2600056,1197216
2600086,1197201
2600159,1197213
2600174,1197175
2600299,1197074
2599851,1197134
2599986,1197174
2599845,1197095
2599702,1197253
2599502,1197042
2599417,1197003
2599469,1196991
2599578,1196805
2599377,1196738
2598568,1196727
2598603,1196602
2598615,1196634
2598150,1197902
2598142,1197846
2598140,1197853
2598146,1197736
2598158,1197750
2598148,1197777
2598330,1197930
2598335,1197907
2598715,1197921
2598954,1197701
2599066,1197521
2599067,1197472
2599088,1197393
2599011,1197386
2598928,1197406
2598052,1197761
2597665,1197601
2598089,1197741
2597756,1197581
2597690,1197533
2597714,1197546
2597986,1197681
2597883,1197280
2597977,1197372
2598672,1197240
2598661,1197153
2598732,1197176
2598737,1197066
2598515,1197246
2598509,1197216
2598503,1197219
2597994,1197289
2597737,1197066
2597672,1197066
2597578,1197011
2597695,1196954
2597649,1196922
2597750,1196938
2597887,1196892
2597798,1196890
2597724,1196884
2597765,1196530
2597594,1196513
2597686,1196563
2597659,1196589
2598100,1196547
2598609,1196202
2598587,1196554
2595253,1197288
2595105,1197093
2595062,1197143
2595120,1197504
2594669,1197053
2594893,1196535
2595109,1196748
2598670,1195849
2598292,1195787
2598206,1195874
2597944,1195500
2598097,1195338
2597934,1195370
2597528,1195450
2597178,1195435
2595721,1196054
2593953,1196031
2593908,1195656
2593825,1195500
2593905,1195682
2599576,1193717
2598682,1193587
2598690,1193544
2598738,1193517
2597199,1194588
2597018,1194091
2596788,1194061
2596043,1194215
2595685,1194205
2593884,1194777
2598031,1192458
2598019,1192430
2597977,1192420
2597607,1192578
2598332,1192608
2598411,1192512
2598200,1192319
2598153,1192313
2598007,1192331
2598157,1192344
2595590,1193304
2596568,1192655
2596336,1192595
2596438,1192578
2596425,1192544
2596500,1192493
2596671,1192588
